dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.1,0.947368421,0.666666667,500,1
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.1,1,1,1800,1
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.1,1,1,1800,1
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.95,0.5,5000,1
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.95,0.5,1500,1
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.1,0.975609756,0.666666667,200,2
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.1,0.975609756,0.666666667,1900,2
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.1,0.975609756,0.666666667,1900,2
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.975609756,0.666666667,600,2
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.975609756,0.666666667,1500,2
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.1,0.975609756,0.666666667,200,3
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.1,0.952380952,0,1800,3
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.1,0.952380952,0,1600,3
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.952380952,0,300,3
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.952380952,0,1500,3
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.1,0.952380952,0,1300,4
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.1,0.952380952,0,800,4
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.1,0.952380952,0,1700,4
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.952380952,0,1100,4
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.952380952,0,1500,4
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.1,0.926829268,0,600,5
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.1,0.952380952,0,1500,5
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.1,0.926829268,0,2800,5
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.95,0.5,3500,5
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.926829268,0,1500,5
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.2,1,1,200,1
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.2,1,1,1000,1
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.2,0.909090909,0,1200,1
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.2,0.947368421,0.8,600,1
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.2,0.930232558,0.4,1500,1
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.2,0.904761905,0.333333333,400,2
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.2,0.926829268,0.571428571,2200,2
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.2,0.95,0.75,2300,2
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.2,0.95,0.75,1100,2
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.2,0.975609756,0.857142857,1500,2
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.2,0.952380952,0.666666667,600,3
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.2,0.975609756,0.857142857,1900,3
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.2,1,1,3200,3
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.2,1,1,2300,3
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.2,0.952380952,0.666666667,1500,3
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.2,0.95,0.75,1200,4
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.2,0.975609756,0.857142857,1000,4
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.2,0.975609756,0.857142857,1100,4
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.2,0.95,0.75,500,4
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.2,0.930232558,0.4,1500,4
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.2,0.926829268,0.571428571,200,5
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.2,0.952380952,0.666666667,1000,5
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.2,0.952380952,0.666666667,1000,5
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.2,0.9,0.5,200,5
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.2,0.952380952,0.666666667,1500,5
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.3,0.975609756,0.909090909,100,1
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.3,0.975609756,0.909090909,1300,1
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.3,0.930232558,0.666666667,1900,1
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.3,1,1,900,1
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.3,1,1,1500,1
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.3,0.975609756,0.909090909,1400,2
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.3,0.975609756,0.909090909,2300,2
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.3,0.975609756,0.909090909,600,2
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.3,0.974358974,0.923076923,3000,2
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.3,0.930232558,0.666666667,1500,2
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.3,0.952380952,0.8,500,3
