dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor,cas,-1,2,20,20,15,100,500,100,0.1,0.823529412,0.4,1800,1
tor,fcn,-1,2,100,100,15,100,500,100,0.1,0.888888889,0.5,600,1
tor,mis,-1,2,100,100,15,100,500,100,0.1,0.857142857,0.444444444,1500,1
tor,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.888888889,0.5,900,1
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.823529412,0.4,1500,1
tor,cas,-1,2,20,20,15,100,500,100,0.1,0.620689655,0.266666667,1300,2
tor,fcn,-1,2,100,100,15,100,500,100,0.1,0.888888889,0.5,5200,2
tor,mis,-1,2,100,100,15,100,500,100,0.1,0.888888889,0.5,4100,2
tor,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.823529412,0.4,800,2
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.918918919,0.571428571,1500,2
tor,cas,-1,2,20,20,15,100,500,100,0.1,0.95,0.5,500,3
tor,fcn,-1,2,100,100,15,100,500,100,0.1,0.823529412,0.4,4000,3
tor,mis,-1,2,100,100,15,100,500,100,0.1,0.727272727,0.181818182,4800,3
tor,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.810810811,0,100,3
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.974358974,0.8,1500,3
tor,cas,-1,2,20,20,15,100,500,100,0.1,0.842105263,0,700,4
tor,fcn,-1,2,100,100,15,100,500,100,0.1,0.787878788,0.363636364,1000,4
tor,mis,-1,2,100,100,15,100,500,100,0.1,0.833333333,0.25,1500,4
tor,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.823529412,0.4,1300,4
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.787878788,0.363636364,1500,4
tor,cas,-1,2,20,20,15,100,500,100,0.1,0.974358974,0.8,300,5
tor,fcn,-1,2,100,100,15,100,500,100,0.1,0.823529412,0.4,2300,5
tor,mis,-1,2,100,100,15,100,500,100,0.1,0.923076923,0.4,1000,5
