dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor_rf,cas,-1,2,20,20,15,100,500,100,0.1,0.974358974,0.8,900,1
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.1,1,1,1000,1
tor_rf,mis,-1,2,100,100,15,100,500,100,0.1,1,1,600,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.974358974,0.8,400,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.974358974,0.8,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,100,0.1,1,1,100,2
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.1,1,1,1300,2
tor_rf,mis,-1,2,100,100,15,100,500,100,0.1,1,1,1400,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.1,1,1,500,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.1,1,1,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,100,0.1,1,1,500,3
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.1,1,1,700,3
tor_rf,mis,-1,2,100,100,15,100,500,100,0.1,1,1,800,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.1,1,1,1300,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.1,1,1,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,100,0.1,0.923076923,0.4,600,4
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.1,0.975609756,0.666666667,3200,4
tor_rf,mis,-1,2,100,100,15,100,500,100,0.1,0.975609756,0.666666667,500,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.95,0.5,100,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.95,0.5,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,100,0.1,0.95,0.5,600,5
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.1,0.975609756,0.666666667,700,5
tor_rf,mis,-1,2,100,100,15,100,500,100,0.1,0.95,0.5,800,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.1,0.975609756,0.666666667,200,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.1,0.975609756,0.666666667,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,100,0.2,1,1,600,1
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.2,1,1,4300,1
tor_rf,mis,-1,2,100,100,15,100,500,100,0.2,0.947368421,0.8,700,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.2,0.947368421,0.8,800,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.2,1,1,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,100,0.2,0.952380952,0.666666667,800,2
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.2,0.952380952,0.666666667,800,2
tor_rf,mis,-1,2,100,100,15,100,500,100,0.2,0.952380952,0.666666667,1500,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.2,0.952380952,0.666666667,1000,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.2,0.952380952,0.666666667,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,100,0.2,0.974358974,0.888888889,700,3
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.2,1,1,4800,3
tor_rf,mis,-1,2,100,100,15,100,500,100,0.2,0.974358974,0.888888889,1000,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.2,1,1,400,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.2,1,1,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,100,0.2,1,1,1100,4
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.2,1,1,6000,4
tor_rf,mis,-1,2,100,100,15,100,500,100,0.2,1,1,1300,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.2,1,1,900,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.2,1,1,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,100,0.2,0.923076923,0.666666667,300,5
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.2,0.923076923,0.666666667,1900,5
tor_rf,mis,-1,2,100,100,15,100,500,100,0.2,0.923076923,0.666666667,500,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.2,0.95,0.75,1100,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.2,0.923076923,0.666666667,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,100,0.3,0.926829268,0.727272727,1700,1
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.3,0.926829268,0.727272727,2400,1
tor_rf,mis,-1,2,100,100,15,100,500,100,0.3,0.926829268,0.727272727,800,1
